MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Scientific Name*,Kingdom*,Phylum,Order,Family,Genus,Specific Epithet,Status*,Verbatim Taxon Rank*,Identifier,Life Science Identifier (PID)
mbo_taxon_animalia,mbo_54167,mbo_wp1_tool_population,Animals,Animalia,Animalia,,,,,,accepted,kingdom,2,urn:lsid:marinespecies.org:taxname:2
mbo_taxon_plants,mbo_54167,mbo_wp1_tool_population,Plants,Plantae,Plantae,,,,,,accepted,kingdom,3,urn:lsid:marinespecies.org:taxname:3
