MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Audience Type*,Name*,Description*
mbo_audience_mbo,mbo_54167,mbo_wp1_tool_population,Researcher,MARCO-BOLO,All personnel working on the MARCO-BOLO project.
