MBO PID,Metadata Publisher PID (you),Title,License URL,Description
mbo_TODO_LICENSE_1,mbo_todo_organization_mbo,Creative Commons Zero v1.0 Universal,https://spdx.org/licenses/CC0-1.0,
mbo_TODO_LICENSE_2,mbo_todo_organization_mbo,European Union Public License 1.0,https://spdx.org/licenses/EUPL-1.0,The European Commission has approved the EUPL on 9 January 2007.
mbo_TODO_LICENSE_3,mbo_todo_organization_mbo,European Union Public License 1.1,https://spdx.org/licenses/EUPL-1.1,This license was released: 16 May 2008 This license is available in the 22 official languages of the EU.
mbo_TODO_LICENSE_4,mbo_todo_organization_mbo,European Union Public License 1.2,https://spdx.org/licenses/EUPL-1.2,This license was released: 19 May 2016. This license is available in the 22 official languages of the EU.
